scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-10.864258,13.061523,1,-19.119263,10.1623535,1,-9.23639583587647,5.33235120773315,1,-15.884399,-6.9885254,1,-10.345459,-10.971069,1,-6.790161,-11.749268,1
1,-11.230469,13.153076,1,-19.485474,10.223389,1,-9.67154693603516,5.25480604171753,1,-16.433716,-7.003784,1,-10.910034,-10.940552,1,-7.369995,-11.779785,1
2,-11.627197,13.214111,1,-19.821167,10.253906,1,-10.0056657791138,5.28843307495117,1,-16.952515,-6.866455,1,-11.520386,-10.910034,1,-7.9803467,-11.749268,1
3,-11.993408,13.22937,1,-20.141602,10.345459,1,-10.3690042495728,5.29607009887695,1,-17.486572,-6.7596436,1,-12.10022,-10.925293,1,-8.590698,-11.734009,1
4,-12.298584,13.290405,1,-20.523071,10.467529,1,-10.7952117919922,5.3324761390686,1,-18.005371,-6.668091,1,-12.664795,-10.83374,1,-9.231567,-11.795044,1
5,-12.680054,13.412476,1,-20.828247,10.574341,1,-11.168309211731,5.31262826919556,1,-18.585205,-6.5612793,1,-13.35144,-10.83374,1,-9.933472,-11.71875,1
6,-12.954712,13.458252,1,-21.1792,10.71167,1,-11.5894269943237,5.32313537597656,1,-19.134521,-6.4697266,1,-13.916016,-10.787964,1,-10.528564,-11.764526,1
7,-13.2751465,13.580322,1,-21.438599,10.910034,1,-11.938307762146,5.36526536941528,1,-19.65332,-6.3171387,1,-14.526367,-10.681152,1,-11.138916,-11.779785,1
8,-13.641357,13.702393,1,-21.713257,11.077881,1,-12.2844648361206,5.41238212585449,1,-20.15686,-6.164551,1,-15.12146,-10.635376,1,-11.795044,-11.703491,1
9,-13.931274,13.885498,1,-21.987915,11.260986,1,-12.6216726303101,5.49266481399536,1,-20.599365,-6.011963,1,-15.670776,-10.559082,1,-12.374878,-11.703491,1
10,-14.251709,13.961792,1,-22.262573,11.444092,1,-12.970025062561,5.5577917098999,1,-21.072388,-5.859375,1,-16.25061,-10.513306,1,-12.969971,-11.734009,1
11,-14.465332,14.0686035,1,-22.506714,11.59668,1,-13.2945938110352,5.58528661727905,1,-21.591187,-5.6915283,1,-16.860962,-10.437012,1,-13.549805,-11.688232,1
12,-14.801025,14.175415,1,-22.781372,11.764526,1,-13.6516437530518,5.62872505187988,1,-22.033691,-5.584717,1,-17.425537,-10.360718,1,-14.205933,-11.657715,1
13,-14.99939,14.312744,1,-22.979736,11.886597,1,-13.9027700424194,5.67300701141357,1,-22.506714,-5.3710938,1,-18.051147,-10.284424,1,-14.785767,-11.688232,1
