scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,34.576416,18.310547,1,26.306152,10.360718,1,35.9120407104492,3.16857624053955,1,20.324707,-3.616333,1,23.345947,-8.956909,1,27.648926,-10.620117,1
1,34.606934,18.26477,1,26.153564,10.421753,1,35.6001052856445,3.02156162261963,1,19.866943,-3.4179688,1,22.857666,-8.865356,1,27.297974,-10.696411,1
2,34.51538,18.249512,1,26.07727,10.482788,1,35.45068359375,2.99018049240112,1,19.607544,-3.1738281,1,22.29309,-8.804321,1,26.58081,-10.620117,1
3,34.576416,18.218994,1,26.016235,10.543823,1,35.2227935791016,2.84711694717407,1,19.256592,-2.9907227,1,21.865845,-8.7890625,1,26.2146,-10.7421875,1
4,34.591675,18.234253,1,25.924683,10.635376,1,34.9962425231934,2.7800087928772,1,18.951416,-2.8381348,1,21.362305,-8.743286,1,25.390625,-10.559082,1
5,34.683228,18.249512,1,25.909424,10.681152,1,34.7826347351074,2.60240793228149,1,18.630981,-2.7008057,1,20.843506,-8.69751,1,25.07019,-10.71167,1
6,34.75952,18.234253,1,25.863647,10.7421875,1,34.5520133972168,2.46497201919556,1,18.28003,-2.456665,1,20.370483,-8.69751,1,24.475098,-10.726929,1
7,34.835815,18.188477,1,25.848389,10.803223,1,34.3749809265137,2.35945415496826,1,18.035889,-2.3345947,1,19.821167,-8.621216,1,24.06311,-10.787964,1
8,34.866333,18.1427,1,25.848389,10.818481,1,34.1583824157715,2.16145944595337,1,17.730713,-2.2125244,1,19.302368,-8.590698,1,23.101807,-10.574341,1
9,34.92737,18.081665,1,25.848389,10.894775,1,33.9652709960937,2.05643749237061,1,17.456055,-1.9989014,1,18.78357,-8.514404,1,22.644043,-10.635376,1
10,35.01892,18.081665,1,25.817871,10.925293,1,33.772891998291,1.94099473953247,1,17.196655,-1.8310547,1,18.295288,-8.483887,1,22.262573,-10.71167,1
11,35.095215,18.02063,1,25.939941,10.910034,1,33.636962890625,1.70373821258545,1,16.983032,-1.7089844,1,17.77649,-8.407593,1,21.453857,-10.543823,1
12,35.369873,18.035889,1,26.062012,10.955811,1,33.5186538696289,1.55376243591309,1,16.799927,-1.5258789,1,17.37976,-8.361816,1,21.240234,-10.7421875,1
13,35.53772,17.944336,1,26.2146,11.001587,1,33.3552436828613,1.35735511779785,1,16.571045,-1.3427734,1,16.87622,-8.270264,1,20.324707,-10.498047,1
14,35.7666,17.974854,1,26.33667,10.971069,1,33.2722587585449,1.17833614349365,1,16.448975,-1.2664795,1,16.37268,-8.224487,1,19.866943,-10.528564,1
