,IliacCrest_x,IliacCrest_y,IliacCrest_likelihood,Hip_x,Hip_y,Hip_likelihood,Knee_x,Knee_y,Knee_likelihood,Ankle_x,Ankle_y,Ankle_likelihood,Metatarsal_x,Metatarsal_y,Metatarsal_likelihood,ToeTip_x,ToeTip_y,ToeTip_likelihood
0,5.065918,11.123657,1,-3.3111572,5.142212,1,3.392256736755371,-3.579270362854004,1,-9.429932,-5.722046,1,-5.996704,-10.559082,1,-0.076293945,-12.329102,1
1,4.8828125,11.09314,1,-3.5552979,5.1574707,1,2.9821977615356445,-3.689061403274536,1,-9.887695,-5.5236816,1,-6.6223145,-10.360718,1,-0.77819824,-12.313843,1
2,4.6539307,11.062622,1,-3.8452148,5.1116943,1,2.566094398498535,-3.826711893081665,1,-10.345459,-5.340576,1,-7.1258545,-10.345459,1,-1.4038086,-12.313843,1
3,4.3945312,11.001587,1,-4.1046143,5.1116943,1,2.1815834045410156,-3.91513991355896,1,-10.757446,-5.1727295,1,-7.7056885,-10.238647,1,-1.9836426,-12.329102,1
4,4.0893555,10.925293,1,-4.3640137,5.1116943,1,1.7317352294921875,-4.044824600219727,1,-11.230469,-5.0354004,1,-8.2092285,-10.101318,1,-2.5939941,-12.283325,1
5,3.90625,10.910034,1,-4.623413,5.050659,1,1.3718113899230957,-4.171991348266602,1,-11.611938,-4.8217773,1,-8.7890625,-10.009766,1,-3.2043457,-12.313843,1
6,3.540039,10.818481,1,-4.852295,5.0811768,1,0.9080891609191895,-4.289947509765625,1,-12.084961,-4.714966,1,-9.277344,-9.994507,1,-3.829956,-12.359619,1
7,3.3416748,10.803223,1,-5.1727295,5.065918,1,0.593073844909668,-4.301873207092285,1,-12.4053955,-4.501343,1,-9.780884,-9.872437,1,-4.425049,-12.329102,1
8,3.0975342,10.787964,1,-5.3710938,5.050659,1,0.16680383682250977,-4.453639030456543,1,-12.832642,-4.333496,1,-10.314941,-9.811401,1,-5.004883,-12.329102,1
9,2.8076172,10.757446,1,-5.6915283,5.0354004,1,-0.20308923721313477,-4.49754524230957,1,-13.198853,-4.1656494,1,-10.803223,-9.689331,1,-5.5999756,-12.34436,1
10,2.4871826,10.757446,1,-5.996704,5.0811768,1,-0.5426301956176758,-4.471470832824707,1,-13.534546,-4.0130615,1,-11.3220215,-9.658813,1,-6.2408447,-12.313843,1
11,2.2583008,10.696411,1,-6.30188,5.050659,1,-1.0121655464172363,-4.593972682952881,1,-13.99231,-3.8757324,1,-11.932373,-9.521484,1,-6.8969727,-12.359619,1
12,1.9989014,10.635376,1,-6.5612793,5.0201416,1,-1.4692916870117188,-4.7303266525268555,1,-14.434814,-3.7841797,1,-12.466431,-9.506226,1,-7.507324,-12.359619,1
13,1.6479492,10.559082,1,-6.8511963,4.974365,1,-1.7745718955993652,-4.784112930297852,1,-14.724731,-3.6468506,1,-12.9852295,-9.490967,1,-8.132935,-12.374878,1
14,1.2817383,10.437012,1,-7.1411133,4.91333,1,-2.2262420654296875,-4.92760705947876,1,-15.151978,-3.540039,1,-13.504028,-9.429932,1,-8.728027,-12.451172,1
15,0.9460449,10.3302,1,-7.4157715,4.776001,1,-2.580245018005371,-5.104165077209473,1,-15.472412,-3.4332275,1,-14.0686035,-9.429932,1,-9.399414,-12.512207,1
16,0.61035156,10.131836,1,-7.7209473,4.6539307,1,-3.0018715858459473,-5.282382011413574,1,-15.853882,-3.326416,1,-14.587402,-9.32312,1,-10.055542,-12.542725,1
17,0.30517578,9.979248,1,-8.010864,4.547119,1,-3.2489471435546875,-5.3687334060668945,1,-16.067505,-3.2043457,1,-15.151978,-9.246826,1,-10.620117,-12.496948,1
18,0.091552734,9.872437,1,-8.285522,4.4555664,1,-3.742936611175537,-5.562662601470947,1,-16.51001,-3.112793,1,-15.655518,-9.231567,1,-11.3220215,-12.527466,1
19,-0.18310547,9.70459,1,-8.4991455,4.3182373,1,-3.970187187194824,-5.706158638000488,1,-16.693115,-3.036499,1,-16.12854,-9.140015,1,-11.917114,-12.573242,1
20,-0.30517578,9.628296,1,-8.743286,4.2419434,1,-4.368275165557861,-5.850592613220215,1,-17.028809,-2.89917,1,-16.647339,-9.140015,1,-12.512207,-12.588501,1
21,-0.62561035,9.475708,1,-8.911133,4.1503906,1,-4.722063064575195,-6.020729064941406,1,-17.318726,-2.8076172,1,-17.150879,-9.0789795,1,-13.122559,-12.588501,1
22,-0.7324219,9.414673,1,-9.048462,4.119873,1,-5.001003265380859,-6.108425617218018,1,-17.562866,-2.7618408,1,-17.63916,-9.002686,1,-13.717651,-12.588501,1
23,-0.8087158,9.338379,1,-9.170532,4.119873,1,-5.4286112785339355,-6.224112510681152,1,-17.929077,-2.6550293,1,-18.066406,-8.880615,1,-14.282227,-12.619019,1
24,-0.93078613,9.292603,1,-9.292603,4.119873,1,-5.706478118896484,-6.279151916503906,1,-18.173218,-2.5939941,1,-18.508911,-8.834839,1,-14.892578,-12.619019,1
25,-1.0070801,9.262085,1,-9.384155,4.135132,1,-5.993355751037598,-6.329212188720703,1,-18.417358,-2.5024414,1,-18.981934,-8.773804,1,-15.472412,-12.588501,1
26,-1.1444092,9.246826,1,-9.597778,4.1046143,1,-6.204809665679932,-6.359025955200195,1,-18.600464,-2.4414062,1,-19.454956,-8.712769,1,-16.113281,-12.60376,1
27,-1.3122559,9.216309,1,-9.674072,4.135132,1,-6.686639308929443,-6.451427459716797,1,-19.02771,-2.3651123,1,-19.943237,-8.69751,1,-16.723633,-12.527466,1
28,-1.4953613,9.185791,1,-9.82666,4.1503906,1,-6.990399360656738,-6.477667808532715,1,-19.332886,-2.39563,1,-20.462036,-8.575439,1,-17.333984,-12.588501,1
29,-1.6021729,9.231567,1,-9.979248,4.1046143,1,-7.28239107131958,-6.559670925140381,1,-19.592285,-2.380371,1,-20.935059,-8.621216,1,-17.868042,-12.60376,1
30,-1.6784668,9.246826,1,-10.055542,4.1503906,1,-7.591531276702881,-6.570087432861328,1,-19.882202,-2.3345947,1,-21.377563,-8.575439,1,-18.52417,-12.60376,1
31,-1.7089844,9.32312,1,-10.101318,4.180908,1,-7.961252212524414,-6.608907699584961,1,-20.233154,-2.319336,1,-21.865845,-8.560181,1,-19.073486,-12.588501,1
32,-1.7700195,9.414673,1,-10.223389,4.333496,1,-8.131204605102539,-6.465705871582031,1,-20.431519,-2.2583008,1,-22.338867,-8.453369,1,-19.714355,-12.542725,1
33,-1.7700195,9.506226,1,-10.253906,4.4403076,1,-8.49691390991211,-6.418466091156006,1,-20.79773,-2.2125244,1,-22.81189,-8.422852,1,-20.339966,-12.557983,1
34,-1.7089844,9.689331,1,-10.3302,4.5776367,1,-8.792427062988281,-6.314344882965088,1,-21.118164,-2.1820068,1,-23.31543,-8.255005,1,-20.950317,-12.527466,1
35,-1.6784668,9.811401,1,-10.406494,4.79126,1,-9.118997573852539,-6.1331329345703125,1,-21.484375,-2.1209717,1,-23.81897,-8.255005,1,-21.591187,-12.481689,1
36,-1.6784668,10.025024,1,-10.482788,4.974365,1,-9.41201400756836,-5.973394393920898,1,-21.78955,-1.9989014,1,-24.230957,-8.087158,1,-22.125244,-12.481689,1
37,-1.663208,10.116577,1,-10.574341,5.1116943,1,-9.755263328552246,-5.857767581939697,1,-22.140503,-1.9073486,1,-24.68872,-8.010864,1,-22.720337,-12.359619,1
38,-1.6479492,10.284424,1,-10.635376,5.279541,1,-9.990524291992188,-5.701541900634766,1,-22.415161,-1.876831,1,-25.177002,-7.9193115,1,-23.284912,-12.34436,1
39,-1.7089844,10.269165,1,-10.726929,5.2948,1,-10.421279907226562,-5.700953483581543,1,-22.827148,-1.8157959,1,-25.619507,-7.8430176,1,-23.880005,-12.268066,1
40,-1.6937256,10.345459,1,-10.787964,5.355835,1,-10.610057830810547,-5.642727851867676,1,-23.010254,-1.739502,1,-26.000977,-7.6293945,1,-24.414062,-12.207031,1
41,-1.663208,10.360718,1,-10.7421875,5.5236816,1,-10.82497501373291,-5.476006031036377,1,-23.239136,-1.6174316,1,-26.367188,-7.4920654,1,-24.963379,-12.1154785,1
42,-1.6479492,10.421753,1,-10.772705,5.584717,1,-10.976131439208984,-5.4134016036987305,1,-23.376465,-1.5106201,1,-26.733398,-7.30896,1,-25.421143,-11.993408,1
43,-1.5258789,10.513306,1,-10.71167,5.7525635,1,-11.087224006652832,-5.241024971008301,1,-23.498535,-1.373291,1,-27.069092,-7.2021484,1,-25.970459,-11.871338,1
