,IliacCrest_x,IliacCrest_y,IliacCrest_likelihood,Hip_x,Hip_y,Hip_likelihood,Knee_x,Knee_y,Knee_likelihood,Ankle_x,Ankle_y,Ankle_likelihood,Metatarsal_x,Metatarsal_y,Metatarsal_likelihood,ToeTip_x,ToeTip_y,ToeTip_likelihood
0,109.069824,11.520386,1,101.257324,6.7596436,1,110.41465759277344,-0.9955682754516602,1,93.673706,-3.9520264,1,96.069336,-10.574341,1,101.01318,-12.390137,1
1,109.00879,11.627197,1,101.119995,6.8359375,1,110.11334228515625,-1.108849048614502,1,93.322754,-3.768921,1,95.443726,-10.528564,1,100.38757,-12.420654,1
2,108.91724,11.779785,1,101.02844,7.0343018,1,109.87843322753906,-1.0698814392089844,1,93.063354,-3.5705566,1,94.92493,-10.4522705,1,99.70093,-12.420654,1
3,108.84094,11.917114,1,101.02844,7.171631,1,109.5926513671875,-1.2339777946472168,1,92.72766,-3.3721924,1,94.34509,-10.391235,1,99.06006,-12.390137,1
4,108.84094,12.069702,1,100.95215,7.3242188,1,109.35945892333984,-1.2383208274841309,1,92.46826,-3.1585693,1,93.75,-10.314941,1,98.358154,-12.34436,1
5,108.74939,12.237549,1,100.93689,7.4920654,1,109.07098388671875,-1.3304319381713867,1,92.14783,-2.9449463,1,93.170166,-10.223389,1,97.65625,-12.34436,1
6,108.71887,12.390137,1,100.93689,7.583618,1,108.77710723876953,-1.5010385513305664,1,91.82739,-2.8076172,1,92.59033,-10.1623535,1,96.969604,-12.329102,1
7,108.71887,12.573242,1,100.92163,7.7056885,1,108.56238555908203,-1.5473580360412598,1,91.59851,-2.6550293,1,92.07153,-10.055542,1,96.28296,-12.298584,1
8,108.70361,12.710571,1,101.02844,7.888794,1,108.36370849609375,-1.6082549095153809,1,91.38489,-2.456665,1,91.44592,-9.963989,1,95.581055,-12.252808,1
9,108.77991,12.832642,1,100.982666,7.9193115,1,108.1587905883789,-1.6985530853271484,1,91.171265,-2.3498535,1,90.927124,-9.796143,1,94.98596,-12.237549,1
10,108.76465,13.061523,1,101.119995,8.056641,1,107.9391098022461,-1.817556381225586,1,90.94238,-2.1514893,1,90.408325,-9.689331,1,94.329834,-12.191772,1
11,108.82568,13.214111,1,101.31836,8.2092285,1,107.8349380493164,-1.8671917915344238,1,90.83557,-2.0141602,1,89.84375,-9.58252,1,93.64319,-12.22229,1
12,108.99353,13.458252,1,101.54724,8.453369,1,107.74400329589844,-1.8228235244750977,1,90.74402,-1.8463135,1,89.30969,-9.414673,1,92.941284,-12.237549,1
13,109.1156,13.73291,1,101.79138,8.728027,1,107.48340606689453,-1.836106777191162,1,90.48462,-1.6326904,1,88.760376,-9.185791,1,92.25464,-12.084961,1
14,109.23767,13.961792,1,101.989746,8.94165,1,107.42018127441406,-1.759303092956543,1,90.423584,-1.4190674,1,88.272095,-8.94165,1,91.59851,-12.10022,1
15,109.52759,14.221191,1,102.3407,9.338379,1,107.31411743164062,-1.582479476928711,1,90.31677,-1.2817383,1,87.82959,-8.804321,1,90.98816,-12.054443,1
16,109.92432,14.450073,1,102.53906,9.658813,1,107.10000610351562,-1.4406356811523438,1,90.10315,-1.1138916,1,87.387085,-8.605957,1,90.36255,-11.947632,1
17,110.38208,14.755249,1,102.81372,10.055542,1,106.8865737915039,-1.232142448425293,1,89.88953,-0.91552734,1,86.91406,-8.346558,1,89.85901,-11.917114,1
18,110.77881,15.029907,1,103.10364,10.543823,1,106.58325958251953,-0.94061279296875,1,89.58435,-0.74768066,1,86.41052,-8.19397,1,89.263916,-11.84082,1
19,111.16028,15.289307,1,103.40881,10.894775,1,106.32381439208984,-0.7457895278930664,1,89.32495,-0.5493164,1,85.96802,-8.010864,1,88.7146,-11.779785,1
20,111.52649,15.50293,1,103.68347,11.184692,1,106.21685791015625,-0.5448422431945801,1,89.21814,-0.33569336,1,85.632324,-7.6904297,1,88.11951,-11.657715,1
21,111.968994,15.640259,1,103.94287,11.367798,1,106.32278442382812,-0.39383602142333984,1,89.32495,-0.12207031,1,85.40344,-7.293701,1,87.60071,-11.520386,1
22,112.36572,15.731812,1,104.37012,11.459351,1,106.65404510498047,-0.32129955291748047,1,89.660645,0.15258789,1,85.250854,-6.9122314,1,87.1582,-11.398315,1
23,112.88452,15.777588,1,104.79736,11.611938,1,107.28218078613281,-0.12797927856445312,1,90.286255,0.24414062,1,85.357666,-6.515503,1,86.7157,-11.199951,1
24,113.31177,15.777588,1,105.25513,11.657715,1,108.07378387451172,-0.006554603576660156,1,91.07971,0.44250488,1,85.66284,-6.072998,1,86.42578,-10.955811,1
25,113.83057,15.74707,1,105.72815,11.611938,1,108.87913513183594,0.03302192687988281,1,91.88843,0.5950928,1,86.07483,-5.630493,1,86.15112,-10.7421875,1
26,114.25781,15.686035,1,106.277466,11.520386,1,109.99857330322266,0.111907958984375,1,93.01758,0.91552734,1,87.03613,-4.8828125,1,85.89172,-10.482788,1
